Date,Thai 25%_spread_usd,Thai 25%_spread_pct,Thai 25%_spread_ma12,Thai A.1_spread_usd,Thai A.1_spread_pct,Thai A.1_spread_ma12,Vietnamese 5%_spread_usd,Vietnamese 5%_spread_pct,Vietnamese 5%_spread_ma12,Thai 5%_price,Thai 5%_price_ma12,Thai 25%_price,Thai 25%_price_ma12,Thai A.1_price,Thai A.1_price_ma12,Vietnamese 5%_price,Vietnamese 5%_price_ma12
2018-05-01,15.0,3.325942350332594,16.166666666666668,19.24000000000001,4.26607538802661,20.385833333333334,32.0,7.095343680709535,33.20166666666666,451.0,422.5833333333333,436.0,406.4166666666667,431.76,402.19750000000005,419.0,389.38166666666666
2018-06-01,12.0,2.810304449648712,14.833333333333334,18.399999999999977,4.309133489461353,20.49083333333333,-16.100000000000023,-3.7704918032786936,23.45833333333333,427.0,420.0,415.0,405.1666666666667,408.6,399.50916666666666,443.1,396.5416666666667
2018-07-01,8.0,2.0100502512562812,14.0,15.269999999999982,3.836683417085423,20.132499999999997,-42.64999999999998,-10.716080402010045,17.31,398.0,418.4166666666667,390.0,404.4166666666667,382.73,398.28416666666675,440.65,401.1066666666666
2018-08-01,12.0,2.9629629629629632,14.0,11.5,2.8395061728395063,19.68583333333333,3.4399999999999977,0.8493827160493822,17.377499999999998,405.0,419.4166666666667,393.0,405.4166666666667,393.5,399.73083333333335,401.56,402.03916666666663
2018-09-01,12.0,2.9629629629629632,13.833333333333334,9.649999999999977,2.3827160493827106,19.057499999999994,20.350000000000023,5.024691358024698,17.406666666666666,405.0,419.6666666666667,393.0,405.8333333333333,395.35,400.6091666666666,384.65,402.26
2018-10-01,12.0,2.93398533007335,13.583333333333334,18.610000000000014,4.550122249388757,19.081666666666663,19.19999999999999,4.694376528117357,17.522499999999997,409.0,420.9166666666667,397.0,407.3333333333333,390.39,401.83500000000004,389.8,403.3941666666667
2018-11-01,10.0,2.493765586034913,13.083333333333334,22.189999999999998,5.533665835411471,18.999166666666664,5.269999999999982,1.3142144638403943,16.04583333333333,401.0,420.8333333333333,391.0,407.75,378.81,401.8341666666667,395.73,404.78749999999997
2018-12-01,9.0,2.2277227722772275,12.583333333333334,24.670000000000016,6.10643564356436,19.596666666666664,4.480000000000018,1.1089108910891134,14.522499999999999,404.0,420.6666666666667,395.0,408.0833333333333,379.33,401.07,399.52,406.1441666666667
2019-01-01,8.0,1.951219512195122,11.583333333333334,22.649999999999977,5.524390243902434,18.88666666666666,13.689999999999998,3.339024390243902,10.574999999999998,410.0,418.0,402.0,406.4166666666667,387.35,399.1133333333333,396.31,407.425
2019-02-01,7.0,1.715686274509804,11.0,21.75,5.330882352941177,19.26583333333333,40.05000000000001,9.816176470588237,11.448333333333332,408.0,416.5833333333333,401.0,405.5833333333333,386.25,397.31749999999994,367.95,405.135
2019-03-01,7.0,1.7241379310344827,10.583333333333334,23.569999999999993,5.805418719211821,19.02166666666666,63.379999999999995,15.610837438423644,15.056666666666667,406.0,414.5833333333333,399.0,404.0,382.43,395.56166666666667,342.62,399.52666666666664
2019-04-01,9.0,2.1791767554479415,10.083333333333334,21.69999999999999,5.25423728813559,19.099999999999994,71.88999999999999,17.406779661016948,17.916666666666668,413.0,411.4166666666667,404.0,401.3333333333333,391.3,392.31666666666666,341.11,393.5
2019-05-01,8.0,1.9559902200488997,9.5,22.24000000000001,5.437652811735943,19.349999999999994,58.06,14.19559902200489,20.088333333333335,409.0,407.9166666666667,401.0,398.4166666666667,386.76,388.5666666666666,350.94,387.8283333333333
